supplier,region,postcode,scraped_at,tariff_name,product_code,elec_unit_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee,is_variable,is_green,elec_only
octopus,Eastern,IP4 5ET,2026-02-09T19:00:56.035644,Agile Octopus,AGILE-24-10-01,19.9605,48.788145,,,£0,True,True,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:00:56.036644,Agile Octopus,AGILE-24-10-01,19.005,54.84696,,,£0,True,True,True
octopus,London,N5 2SD,2026-02-09T19:00:56.036644,Agile Octopus,AGILE-24-10-01,19.005,39.535125,,,£0,True,True,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:00:56.036644,Agile Octopus,AGILE-24-10-01,20.9055,65.83542,,,£0,True,True,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:00:56.037169,Agile Octopus,AGILE-24-10-01,19.9605,61.56108,,,£0,True,True,True
octopus,North East,NE2 1UY,2026-02-09T19:00:56.037169,Agile Octopus,AGILE-24-10-01,19.9605,70.04823,,,£0,True,True,True
octopus,North West,PR4 2NB,2026-02-09T19:00:56.037169,Agile Octopus,AGILE-24-10-01,19.9605,49.98336,,,£0,True,True,True
octopus,Southern,BH6 4AS,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,19.9605,62.224785,,,£0,True,True,True
octopus,South East,BN2 7HQ,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,20.9055,55.78566,,,£0,True,True,True
octopus,South Wales,CF14 2DY,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,20.9055,62.064135,,,£0,True,True,True
octopus,South West,PL9 7BS,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,21.861,66.066105,,,£0,True,True,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,19.005,66.26277,,,£0,True,True,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,19.9605,62.11863,,,£0,True,True,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:00:56.038207,Agile Octopus,AGILE-24-10-01,22.806,59.928225,,,£0,True,True,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.62608,48.388515,,,£0,True,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.08806,48.31659,,,£0,True,False,True
octopus,London,N5 2SD,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.131005,45.465735,,,£0,True,False,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,15.283905,69.026055,,,£0,True,False,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.137935,52.493595,,,£0,True,False,True
octopus,North East,NE2 1UY,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.01855,58.897125,,,£0,True,False,True
octopus,North West,PR4 2NB,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.9457,50.28996,,,£0,True,False,True
octopus,Southern,BH6 4AS,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.596155,44.50782,,,£0,True,False,True
octopus,South East,BN2 7HQ,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.841015,47.76429,,,£0,True,False,True
octopus,South Wales,CF14 2DY,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.79387,50.48274,,,£0,True,False,True
octopus,South West,PL9 7BS,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.788305,54.389265,,,£0,True,False,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,13.96521,57.84429,,,£0,True,False,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.24304,57.28044,,,£0,True,False,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:08.092703,Cosy Octopus,COSY-22-12-08,14.916615,61.67889,,,£0,True,False,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:13.572552,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,28.649355,47.7036,,,£25 per fuel,False,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.59547,47.631675,,,£25 per fuel,False,False,True
octopus,London,N5 2SD,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.67968,44.78082,,,£25 per fuel,False,False,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,29.93802,68.34114,,,£25 per fuel,False,False,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.693225,51.80868,,,£25 per fuel,False,False,True
octopus,North East,NE2 1UY,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.459495,58.21221,,,£25 per fuel,False,False,True
octopus,North West,PR4 2NB,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,29.275575,49.605045,,,£25 per fuel,False,False,True
octopus,Southern,BH6 4AS,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,28.59087,43.822905,,,£25 per fuel,False,False,True
octopus,South East,BN2 7HQ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,29.070405,47.07927,,,£25 per fuel,False,False,True
octopus,South Wales,CF14 2DY,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,28.978215,49.797825,,,£25 per fuel,False,False,True
octopus,South West,PL9 7BS,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,28.96719,53.70435,,,£25 per fuel,False,False,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.354915,57.15927,,,£25 per fuel,False,False,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,27.89913,56.595525,,,£25 per fuel,False,False,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,COSY-FIX-12M-25-09-24,29.218455,60.993975,,,£25 per fuel,False,False,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,40.100445,48.388515,,,£0,True,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,38.733135,48.31659,,,£0,True,False,True
octopus,London,N5 2SD,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,38.931795,45.465735,,,£0,True,False,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,41.768055,69.026055,,,£0,True,False,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,38.87541,52.493595,,,£0,True,False,True
octopus,North East,NE2 1UY,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,38.53206,58.897125,,,£0,True,False,True
octopus,North West,PR4 2NB,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,40.93593,50.28996,,,£0,True,False,True
octopus,Southern,BH6 4AS,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,39.976335,44.50782,,,£0,True,False,True
octopus,South East,BN2 7HQ,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,40.59195,47.76429,,,£0,True,False,True
octopus,South Wales,CF14 2DY,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,40.489365,50.48274,,,£0,True,False,True
octopus,South West,PL9 7BS,2026-02-09T19:01:20.066539,Octopus Flux Import,FLUX-IMPORT-23-02-14,40.42626,54.389265,,,£0,True,False,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:20.067576,Octopus Flux Import,FLUX-IMPORT-23-02-14,38.502765,57.84429,,,£0,True,False,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:20.067576,Octopus Flux Import,FLUX-IMPORT-23-02-14,37.931355,57.28044,,,£0,True,False,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:20.067576,Octopus Flux Import,FLUX-IMPORT-23-02-14,39.50646,61.67889,,,£0,True,False,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,47.7036,,,£0,False,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,47.631675,,,£0,False,False,True
octopus,London,N5 2SD,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,44.78082,,,£0,False,False,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,68.34114,,,£0,False,False,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,51.80868,,,£0,False,False,True
octopus,North East,NE2 1UY,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,58.21221,,,£0,False,False,True
octopus,North West,PR4 2NB,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,49.605045,,,£0,False,False,True
octopus,Southern,BH6 4AS,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,43.822905,,,£0,False,False,True
octopus,South East,BN2 7HQ,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,47.07927,,,£0,False,False,True
octopus,South Wales,CF14 2DY,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,49.797825,,,£0,False,False,True
octopus,South West,PL9 7BS,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,53.70435,,,£0,False,False,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,57.15927,,,£0,False,False,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,56.595525,,,£0,False,False,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:25.922659,Octopus Go 12M Fixed,GO-FIX-12M-25-08-29,8.49975,60.993975,,,£0,False,False,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,30.605085,48.388515,,,£0,True,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.508045,48.31659,,,£0,True,False,True
octopus,London,N5 2SD,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.625435,45.465735,,,£0,True,False,True
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,31.93953,69.026055,,,£0,True,False,True
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.616405,52.493595,,,£0,True,False,True
octopus,North East,NE2 1UY,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.35233,58.897125,,,£0,True,False,True
octopus,North West,PR4 2NB,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,31.23498,50.28996,,,£0,True,False,True
octopus,Southern,BH6 4AS,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,30.5445,44.50782,,,£0,True,False,True
octopus,South East,BN2 7HQ,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,31.032225,47.76429,,,£0,True,False,True
octopus,South Wales,CF14 2DY,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,30.936465,50.48274,,,£0,True,False,True
octopus,South West,PL9 7BS,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,30.914415,54.389265,,,£0,True,False,True
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.280825,57.84429,,,£0,True,False,True
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,29.83197,57.28044,,,£0,True,False,True
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:35.058253,Octopus Go,GO-VAR-22-10-14,31.137015,61.67889,,,£0,True,False,True
octopus,Eastern,IP4 5ET,2026-02-09T19:01:41.592733,Intelligent Octopus Go 12M Fixed,INTELLI-FIX-12M-25-08-29,7.00035,47.7036,,,£0,False,False,True
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:41.592733,Intelligent Octopus Go 12M Fixed,INTELLI-FIX-12M-25-08-29,7.00035,47.631675,,,£0,False,False,True
octopus,London,N5 2SD,2026-02-09T19:01:41.592733,Intelligent Octopus Go 12M Fixed,INTELLI-FIX-12M-25-08-29,7.00035,44.78082,,,£0,False,False,True
